1   H       H       H       H2      H       B               1.83e-31    -1.     0.0
2   H       H       H2      H2      H2      B               2.29e-32    -1.     0.0
3   H2      H2      B       H       H       H2              4.69e-9     -0.5    52000.
4   H2      H       B       H       H       H               3.75e-8     -0.5    52000.
