1   H       H       H       H2      H       B               1.83e-31    -1.    0.0
2   H       H       H2      H2      H2      B               8.72e-33    -0.6     0.0
3   H2      H2      B       H       H       H2              1.50e-9     0.0     46350.
4   H2      H       B       H       H       H               3.75e-8     -0.5    53280.
5   H       H       He      H2      He      B               7.047e-33   -0.4    0.0
6   H2      He      B       H       H       He              1.266e-9    0.11    52000
