1   H       H       H       H2      H       B               1.30e-32    -1.         0.0
2   H       H       H2      H2      H2      B               2.29e-32    -1.         0.0
3   H2      H2      B       H       H       H2              4.115e-9    -0.485      52000.
4   H2      H       B       H       H       H               2.336e-9    -0.485      52000.
